                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2071,                 1.4573,                 1.1634,                 0.9781,                0.93967,                0.96543,                0.64139,                 1.1311,                0.66598,                 1.1455,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1879,                0.74655,                 1.1429,                0.97849,                0.93968,                0.96829,                0.64242,                 1.1957,                0.58705,                 1.1882,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.2166,                0.70373,                 1.1733,                0.98049,                0.92848,                0.96325,                0.64639,                 1.1874,                0.56836,                 1.1796,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.2198,                0.68617,                 1.1846,                0.97299,                0.93989,                0.96513,                0.65929,                  1.153,                0.55631,                 1.1688,               0.009703,               0.009703,               0.009703
                      5,                 1.1901,                0.63853,                 1.1714,                 0.9743,                0.94402,                0.96956,                0.67619,                 1.1093,                0.53094,                 1.1455,               0.009604,               0.009604,               0.009604
                      6,                 1.1661,                 0.6064,                 1.1604,                0.97261,                0.94457,                0.97157,                0.67843,                 1.1252,                0.49002,                 1.1408,               0.009505,               0.009505,               0.009505
                      7,                 1.1565,                0.59028,                 1.1531,                0.98189,                0.94269,                0.97231,                0.68336,                 1.1125,                 0.4716,                 1.1405,               0.009406,               0.009406,               0.009406
                      8,                 1.1389,                 0.5672,                 1.1422,                0.98081,                0.94463,                0.97496,                0.68458,                  1.121,                0.46747,                 1.1394,               0.009307,               0.009307,               0.009307
                      9,                 1.1358,                0.56218,                 1.1406,                0.98239,                0.94402,                0.97203,                0.68814,                 1.1111,                0.46589,                 1.1364,               0.009208,               0.009208,               0.009208
                     10,                  1.127,                 0.5481,                 1.1337,                0.98154,                 0.9413,                0.97283,                0.68839,                 1.0997,                0.44794,                 1.1232,               0.009109,               0.009109,               0.009109
                     11,                 1.1164,                0.53598,                 1.1275,                0.98228,                0.94511,                0.97781,                0.69563,                 1.0999,                0.43556,                 1.1218,                0.00901,                0.00901,                0.00901
                     12,                 1.1078,                0.52586,                 1.1225,                0.98302,                0.94728,                0.97782,                0.69642,                 1.0986,                0.43344,                 1.1214,               0.008911,               0.008911,               0.008911
                     13,                 1.1033,                0.52299,                 1.1212,                 0.9815,                0.95147,                0.97577,                0.69898,                 1.0995,                0.42569,                 1.1227,               0.008812,               0.008812,               0.008812
                     14,                 1.0956,                0.51676,                 1.1155,                0.97714,                0.95761,                 0.9787,                0.69917,                 1.0858,                0.41994,                 1.1097,               0.008713,               0.008713,               0.008713
                     15,                 1.0923,                0.51224,                 1.1143,                 0.9767,                0.95663,                0.97772,                0.70016,                 1.0877,                 0.4188,                  1.113,               0.008614,               0.008614,               0.008614
                     16,                 1.0866,                0.50554,                 1.1072,                0.98535,                0.95016,                0.97872,                0.70418,                 1.0737,                0.40663,                  1.106,               0.008515,               0.008515,               0.008515
                     17,                 1.0794,                0.49565,                 1.1059,                0.98268,                0.95761,                0.98141,                 0.7063,                 1.0747,                0.39597,                 1.1054,               0.008416,               0.008416,               0.008416
                     18,                 1.0736,                0.49441,                 1.1006,                0.97607,                 0.9587,                0.98244,                 0.7056,                  1.076,                0.39383,                 1.1061,               0.008317,               0.008317,               0.008317
                     19,                 1.0766,                0.48818,                 1.1097,                0.98492,                 0.9587,                 0.9819,                0.70793,                 1.0726,                0.38697,                 1.1037,               0.008218,               0.008218,               0.008218
                     20,                 1.0758,                0.49022,                 1.1044,                0.98329,                0.95928,                 0.9826,                0.71375,                 1.0665,                0.38851,                 1.1001,               0.008119,               0.008119,               0.008119
                     21,                 1.0622,                 0.4885,                 1.0963,                0.97878,                0.96359,                0.98252,                0.71201,                 1.0675,                0.38303,                 1.1018,                0.00802,                0.00802,                0.00802
                     22,                 1.0701,                0.48426,                 1.0998,                 0.9835,                0.95815,                0.98182,                0.70871,                  1.065,                0.38272,                 1.0978,               0.007921,               0.007921,               0.007921
                     23,                 1.0565,                0.47842,                 1.0919,                0.98404,                0.95978,                0.98431,                0.71262,                 1.0687,                0.37638,                 1.1007,               0.007822,               0.007822,               0.007822
                     24,                 1.0525,                0.47399,                 1.0917,                0.98699,                0.95815,                0.98437,                0.71484,                 1.0646,                0.37193,                 1.0982,               0.007723,               0.007723,               0.007723
                     25,                 1.0549,                0.47175,                 1.0909,                0.99018,                0.96196,                 0.9833,                0.71445,                 1.0604,                0.36898,                 1.0972,               0.007624,               0.007624,               0.007624
                     26,                 1.0528,                0.46926,                 1.0916,                0.98658,                0.96141,                0.98473,                0.71716,                 1.0611,                0.36932,                 1.0944,               0.007525,               0.007525,               0.007525
                     27,                 1.0488,                0.46824,                 1.0912,                0.97983,                0.96522,                0.98628,                0.71306,                 1.0647,                0.36981,                 1.0986,               0.007426,               0.007426,               0.007426
                     28,                 1.0468,                0.46458,                 1.0887,                0.97801,                0.96702,                0.98389,                 0.7168,                 1.0607,                0.36436,                 1.0935,               0.007327,               0.007327,               0.007327
                     29,                 1.0467,                 0.4647,                 1.0875,                0.98469,                0.96413,                0.98569,                0.71627,                  1.059,                0.36208,                 1.0958,               0.007228,               0.007228,               0.007228
                     30,                 1.0403,                0.45921,                 1.0844,                0.98445,                 0.9634,                0.98369,                0.71508,                 1.0629,                0.35709,                 1.0988,               0.007129,               0.007129,               0.007129
                     31,                 1.0377,                0.45715,                 1.0861,                0.98443,                0.96228,                0.98768,                0.71683,                 1.0661,                0.35874,                 1.0974,                0.00703,                0.00703,                0.00703
                     32,                 1.0394,                0.45197,                 1.0817,                0.98336,                0.96336,                0.98662,                0.71868,                 1.0578,                0.35496,                 1.0933,               0.006931,               0.006931,               0.006931
                     33,                 1.0335,                0.45223,                   1.08,                0.98718,                0.96304,                0.98513,                0.72013,                 1.0561,                0.35381,                  1.092,               0.006832,               0.006832,               0.006832
                     34,                 1.0321,                0.44974,                  1.082,                0.98206,                0.96522,                 0.9848,                0.72292,                   1.06,                0.35719,                 1.0941,               0.006733,               0.006733,               0.006733
                     35,                 1.0281,                0.44688,                 1.0777,                 0.9852,                 0.9625,                0.98508,                0.72074,                 1.0579,                0.35438,                 1.0922,               0.006634,               0.006634,               0.006634
                     36,                 1.0226,                0.44409,                 1.0767,                0.98345,                0.96413,                0.98809,                0.72047,                 1.0613,                0.35404,                 1.0932,               0.006535,               0.006535,               0.006535
                     37,                 1.0226,                0.44328,                 1.0755,                0.98502,                0.96467,                0.98815,                 0.7214,                 1.0603,                0.35297,                 1.0923,               0.006436,               0.006436,               0.006436
                     38,                 1.0236,                0.44632,                  1.077,                0.98234,                0.96739,                 0.9874,                0.72262,                 1.0635,                0.35312,                 1.0941,               0.006337,               0.006337,               0.006337
                     39,                 1.0151,                0.43963,                  1.072,                0.98379,                0.96576,                0.98597,                0.72499,                 1.0627,                0.35149,                 1.0938,               0.006238,               0.006238,               0.006238
                     40,                 1.0205,                0.43912,                 1.0755,                0.98694,                0.96467,                0.98594,                0.72396,                 1.0625,                0.35026,                 1.0935,               0.006139,               0.006139,               0.006139
                     41,                  1.008,                0.43481,                 1.0666,                0.98691,                 0.9625,                0.98579,                0.72427,                  1.065,                0.34762,                  1.095,                0.00604,                0.00604,                0.00604
                     42,                 1.0102,                0.43533,                   1.07,                0.98413,                0.96467,                0.98608,                0.72361,                 1.0656,                0.34735,                 1.0952,               0.005941,               0.005941,               0.005941
                     43,                 1.0102,                0.43298,                 1.0687,                0.98556,                0.96461,                0.98561,                0.72437,                 1.0656,                0.34692,                 1.0944,               0.005842,               0.005842,               0.005842
                     44,                 1.0061,                0.43038,                 1.0667,                0.98504,                0.96622,                0.98538,                0.72314,                 1.0638,                0.34517,                 1.0935,               0.005743,               0.005743,               0.005743
                     45,                 1.0021,                0.42846,                 1.0616,                0.98128,                0.96848,                0.98541,                0.72436,                 1.0641,                0.34515,                 1.0935,               0.005644,               0.005644,               0.005644
                     46,                0.99531,                0.42178,                 1.0639,                0.98268,                0.96902,                0.98689,                0.72337,                 1.0649,                0.34381,                  1.094,               0.005545,               0.005545,               0.005545
                     47,                0.99941,                0.42695,                 1.0633,                0.98634,                0.96467,                0.98616,                0.72379,                  1.065,                0.34392,                 1.0934,               0.005446,               0.005446,               0.005446
                     48,                0.99661,                 0.4258,                 1.0623,                0.98183,                0.96912,                0.98725,                0.72367,                 1.0657,                 0.3428,                 1.0934,               0.005347,               0.005347,               0.005347
                     49,                0.98459,                 0.4231,                 1.0606,                0.98239,                0.97005,                0.98822,                0.72513,                 1.0658,                0.34289,                 1.0937,               0.005248,               0.005248,               0.005248
                     50,                0.98801,                0.41939,                 1.0604,                0.98336,                0.96957,                0.98836,                 0.7256,                  1.065,                0.34172,                 1.0938,               0.005149,               0.005149,               0.005149
                     51,                0.98447,                0.41808,                 1.0592,                0.98268,                0.96957,                0.98665,                0.72472,                 1.0654,                0.34119,                  1.094,                0.00505,                0.00505,                0.00505
                     52,                 0.9833,                0.41646,                 1.0586,                0.98216,                0.97065,                0.98769,                0.72601,                 1.0651,                0.34097,                 1.0936,               0.004951,               0.004951,               0.004951
                     53,                 0.9819,                0.41236,                 1.0585,                 0.9824,                0.97095,                0.98744,                0.72524,                 1.0649,                0.34069,                 1.0937,               0.004852,               0.004852,               0.004852
                     54,                0.97745,                0.41416,                 1.0554,                 0.9824,                0.97102,                0.98759,                0.72597,                 1.0647,                0.33901,                 1.0934,               0.004753,               0.004753,               0.004753
                     55,                0.97465,                0.41182,                  1.057,                0.98277,                 0.9712,                0.98795,                0.72546,                  1.065,                 0.3386,                 1.0938,               0.004654,               0.004654,               0.004654
                     56,                0.97899,                0.41354,                  1.056,                0.98296,                0.97167,                0.98813,                0.72484,                 1.0653,                0.33881,                 1.0938,               0.004555,               0.004555,               0.004555
                     57,                0.97023,                0.40426,                 1.0527,                0.98348,                0.97043,                0.98807,                0.72397,                 1.0659,                0.33864,                  1.094,               0.004456,               0.004456,               0.004456
                     58,                0.96698,                 0.4053,                 1.0494,                 0.9825,                 0.9712,                0.98778,                0.72469,                 1.0659,                0.33869,                 1.0941,               0.004357,               0.004357,               0.004357
                     59,                0.96591,                 0.4035,                 1.0505,                 0.9834,                 0.9712,                0.98767,                0.72414,                 1.0662,                0.33843,                 1.0941,               0.004258,               0.004258,               0.004258
                     60,                0.96363,                0.40524,                 1.0509,                0.98377,                 0.9712,                0.98749,                0.72421,                 1.0666,                0.33872,                 1.0943,               0.004159,               0.004159,               0.004159
                     61,                0.96462,                0.40286,                 1.0509,                0.98457,                0.97111,                 0.9875,                0.72247,                 1.0671,                0.33829,                 1.0947,                0.00406,                0.00406,                0.00406
                     62,                0.96186,                0.40131,                 1.0466,                0.98435,                0.97174,                0.98726,                0.72389,                 1.0674,                0.33868,                 1.0949,               0.003961,               0.003961,               0.003961
                     63,                0.95394,                 0.3991,                 1.0453,                0.98438,                0.97174,                0.98783,                0.72384,                 1.0675,                0.33837,                 1.0951,               0.003862,               0.003862,               0.003862
                     64,                0.95308,                0.39501,                 1.0442,                0.98376,                 0.9712,                0.98648,                0.72347,                 1.0675,                0.33808,                 1.0951,               0.003763,               0.003763,               0.003763
                     65,                0.94604,                0.39515,                 1.0408,                0.98401,                0.97007,                0.98751,                0.72411,                 1.0679,                0.33792,                 1.0955,               0.003664,               0.003664,               0.003664
                     66,                0.94315,                0.39135,                 1.0462,                0.98401,                 0.9701,                0.98754,                0.72422,                  1.068,                0.33831,                 1.0956,               0.003565,               0.003565,               0.003565
                     67,                0.94069,                0.38942,                 1.0409,                0.98401,                0.97004,                0.98762,                0.72364,                 1.0686,                0.33803,                 1.0958,               0.003466,               0.003466,               0.003466
                     68,                0.93732,                0.38823,                 1.0393,                0.98348,                0.97063,                 0.9877,                0.72463,                 1.0689,                0.33771,                  1.096,               0.003367,               0.003367,               0.003367
                     69,                0.93265,                0.38492,                 1.0358,                 0.9867,                0.96748,                0.98772,                0.72367,                 1.0691,                0.33747,                 1.0963,               0.003268,               0.003268,               0.003268
                     70,                0.93514,                0.38754,                 1.0387,                0.98725,                0.96792,                0.98723,                0.72373,                 1.0693,                0.33729,                 1.0965,               0.003169,               0.003169,               0.003169
                     71,                0.92542,                 0.3798,                  1.033,                 0.9864,                0.96793,                0.98676,                0.72412,                 1.0699,                0.33714,                 1.0969,                0.00307,                0.00307,                0.00307
                     72,                0.92221,                 0.3803,                 1.0321,                0.98584,                0.96793,                0.98794,                0.72462,                 1.0702,                 0.3369,                 1.0969,               0.002971,               0.002971,               0.002971
                     73,                0.92112,                0.37937,                 1.0311,                0.98593,                0.96793,                0.98806,                0.72442,                 1.0707,                 0.3374,                 1.0972,               0.002872,               0.002872,               0.002872
                     74,                0.91781,                0.37665,                  1.029,                0.98603,                0.96793,                0.98769,                0.72424,                 1.0713,                0.33737,                 1.0974,               0.002773,               0.002773,               0.002773
                     75,                0.91415,                0.37604,                 1.0288,                0.98662,                0.96848,                0.98826,                0.72424,                 1.0716,                0.33756,                 1.0976,               0.002674,               0.002674,               0.002674
                     76,                0.91402,                0.37434,                 1.0279,                0.98616,                0.96799,                 0.9876,                0.72448,                 1.0719,                0.33757,                 1.0978,               0.002575,               0.002575,               0.002575
                     77,                0.90515,                0.37102,                 1.0258,                0.98612,                0.96793,                0.98658,                0.72387,                 1.0724,                0.33712,                 1.0981,               0.002476,               0.002476,               0.002476
                     78,                 0.9043,                0.37021,                 1.0248,                0.98623,                0.96793,                 0.9883,                0.72417,                 1.0731,                0.33699,                 1.0985,               0.002377,               0.002377,               0.002377
                     79,                0.90173,                0.36925,                 1.0215,                0.98615,                0.96793,                0.98831,                0.72418,                 1.0735,                0.33702,                 1.0987,               0.002278,               0.002278,               0.002278
                     80,                 0.9021,                0.36844,                 1.0219,                 0.9858,                0.96793,                0.98824,                0.72371,                 1.0736,                0.33662,                 1.0991,               0.002179,               0.002179,               0.002179
                     81,                0.90184,                0.36786,                 1.0219,                0.98621,                0.96793,                0.98832,                0.72388,                  1.074,                0.33639,                 1.0992,                0.00208,                0.00208,                0.00208
                     82,                0.89181,                 0.3626,                 1.0204,                0.98616,                0.96797,                0.98826,                0.72321,                 1.0744,                0.33641,                 1.0994,               0.001981,               0.001981,               0.001981
                     83,                0.88861,                0.36227,                 1.0165,                0.98625,                0.96793,                0.98832,                0.72328,                 1.0751,                0.33654,                 1.0997,               0.001882,               0.001882,               0.001882
                     84,                0.88726,                0.35901,                 1.0155,                0.98726,                0.96839,                0.98828,                0.72307,                 1.0758,                0.33692,                    1.1,               0.001783,               0.001783,               0.001783
                     85,                0.88145,                0.35665,                 1.0167,                0.98725,                0.96848,                0.98827,                0.72313,                 1.0761,                0.33679,                 1.1002,               0.001684,               0.001684,               0.001684
                     86,                0.87023,                0.35215,                 1.0119,                0.98726,                0.96834,                0.98826,                0.72252,                 1.0763,                0.33682,                 1.1004,               0.001585,               0.001585,               0.001585
                     87,                0.87196,                0.35305,                 1.0101,                 0.9867,                0.96793,                0.98791,                0.72206,                  1.077,                0.33689,                 1.1007,               0.001486,               0.001486,               0.001486
                     88,                0.86672,                0.34926,                  1.009,                0.98707,                0.96793,                0.98792,                0.72128,                 1.0775,                0.33669,                  1.101,               0.001387,               0.001387,               0.001387
                     89,                0.86482,                0.34926,                 1.0099,                0.98718,                0.96793,                0.98772,                0.72128,                 1.0778,                0.33706,                 1.1012,               0.001288,               0.001288,               0.001288
                     90,                0.86646,                0.35037,                 1.0082,                0.98692,                0.96793,                0.98787,                0.72167,                 1.0783,                0.33671,                 1.1015,               0.001189,               0.001189,               0.001189
                     91,                0.83802,                 0.3062,                  1.023,                0.98692,                0.96793,                0.98794,                0.72163,                 1.0787,                0.33695,                  1.102,                0.00109,                0.00109,                0.00109
                     92,                0.82462,                0.30353,                 1.0182,                0.98694,                0.96793,                0.98799,                0.72224,                 1.0793,                 0.3374,                 1.1024,               0.000991,               0.000991,               0.000991
                     93,                0.81638,                0.30176,                 1.0126,                0.98754,                0.96793,                0.98801,                0.72268,                 1.0801,                0.33718,                 1.1029,               0.000892,               0.000892,               0.000892
                     94,                0.81455,                0.29805,                 1.0116,                0.98736,                0.96848,                0.98812,                0.72233,                 1.0804,                0.33656,                 1.1031,               0.000793,               0.000793,               0.000793
                     95,                0.80718,                0.29511,                 1.0093,                0.98727,                0.96919,                0.98816,                 0.7217,                  1.081,                0.33668,                 1.1035,               0.000694,               0.000694,               0.000694
                     96,                0.80239,                0.29384,                 1.0065,                0.98673,                0.96967,                0.98803,                0.72207,                 1.0818,                0.33683,                  1.104,               0.000595,               0.000595,               0.000595
                     97,                0.79694,                0.29193,                 1.0052,                0.98673,                0.96966,                0.98794,                0.72122,                 1.0825,                0.33654,                 1.1044,               0.000496,               0.000496,               0.000496
                     98,                0.79131,                0.29109,                 1.0014,                0.98673,                0.96966,                0.98805,                0.72163,                 1.0834,                0.33671,                  1.105,               0.000397,               0.000397,               0.000397
                     99,                0.78489,                0.28768,                 0.9973,                0.98781,                0.96907,                0.98816,                0.72175,                  1.084,                0.33729,                 1.1056,               0.000298,               0.000298,               0.000298
                    100,                 0.7842,                0.28635,                0.99703,                0.98781,                0.96793,                0.98791,                0.72212,                 1.0845,                0.33709,                 1.1061,               0.000199,               0.000199,               0.000199
